,open,high,low,close,adjclose,volume,ticker
2002-05-11,28.0,28.625,27.975000381469727,28.5,15.432311058044434,35437000,KO
2002-05-18,28.375,28.739999771118164,27.625,28.100000381469727,15.215709686279297,31915800,KO
2002-05-25,27.975000381469727,28.075000762939453,26.899999618530273,27.780000686645508,15.042433738708496,34057400,KO
2002-06-01,27.450000762939453,27.725000381469727,26.475000381469727,27.024999618530273,14.633618354797363,40172000,KO
2002-06-08,26.975000381469727,27.4950008392334,26.809999465942383,27.424999237060547,14.850211143493652,45293200,KO
2002-06-15,27.399999618530273,28.174999237060547,27.344999313354492,28.0,15.217933654785156,52162200,KO
2002-06-22,28.0,28.725000381469727,27.170000076293945,28.0,15.217933654785156,62703800,KO
2002-06-29,28.125,28.600000381469727,27.780000686645508,28.235000610351562,15.345656394958496,42035800,KO
2002-07-06,28.350000381469727,28.75,25.350000381469727,25.524999618530273,13.872771263122559,87592400,KO
2002-07-13,25.375,26.125,22.3700008392334,22.545000076293945,12.253153800964355,87586800,KO
2002-07-20,22.59000015258789,24.125,21.799999237060547,23.725000381469727,12.894478797912598,99771400,KO
2002-07-27,24.0,25.420000076293945,23.80500030517578,25.049999237060547,13.614615440368652,57731800,KO
2002-08-03,25.049999237060547,25.719999313354492,23.774999618530273,25.549999237060547,13.886359214782715,46997400,KO
2002-08-10,25.100000381469727,26.350000381469727,24.790000915527344,26.094999313354492,14.182567596435547,44499000,KO
2002-08-17,26.219999313354492,26.700000762939453,25.459999084472656,26.350000381469727,14.321160316467285,42135800,KO
2002-08-24,26.350000381469727,26.6200008392334,25.0,25.5,13.859184265136719,39910400,KO
2002-08-31,25.200000762939453,25.424999237060547,24.540000915527344,24.94499969482422,13.557544708251953,34514200,KO
2002-09-07,24.780000686645508,25.795000076293945,24.55500030517578,24.825000762939453,13.492318153381348,31142400,KO
2002-09-14,24.924999237060547,25.700000762939453,23.520000457763672,23.760000228881836,12.96436882019043,58056600,KO
2002-09-21,23.559999465942383,24.649999618530273,23.204999923706055,24.2450008392334,13.22900676727295,47004600,KO
2002-09-28,23.899999618530273,25.844999313354492,23.725000381469727,25.450000762939453,13.886497497558594,54155000,KO
2002-10-05,25.415000915527344,26.40999984741211,25.0049991607666,25.725000381469727,14.03654956817627,63362400,KO
2002-10-12,25.600000381469727,26.549999237060547,22.28499984741211,23.19499969482422,12.656088829040527,110119600,KO
2002-10-19,23.549999237060547,24.3700008392334,23.184999465942383,23.485000610351562,12.81432056427002,56453600,KO
2002-10-26,23.489999771118164,23.579999923706055,22.510000228881836,23.415000915527344,12.776126861572266,54111800,KO
2002-11-02,23.420000076293945,23.450000762939453,22.239999771118164,22.260000228881836,12.145913124084473,65997800,KO
2002-11-09,22.2549991607666,23.0,22.104999542236328,22.985000610351562,12.54150104522705,54893000,KO
2002-11-16,23.100000381469727,23.579999923706055,22.375,22.704999923706055,12.388725280761719,57119400,KO
2002-11-23,22.524999618530273,23.19499969482422,22.290000915527344,22.81999969482422,12.451471328735352,36712400,KO
2002-11-30,23.09000015258789,23.100000381469727,22.315000534057617,22.700000762939453,12.44114875793457,53395800,KO
